radio columnas ancho x K t90_mean t90_std
0.0175 1 0.035 0.60 19 21.49 2.88513
0.0175 2 0.0708333 0.60 38 21.5836 2.47184
0.0175 4 0.1425 0.60 76 19.3431 2.58101
0.0175 6 0.214167 0.60 114 18.6963 1.73752
0.0175 8 0.285833 0.60 152 18.0866 1.6952
0.0175 10 0.3575 0.60 190 16.7381 2.79839
0.0175 12 0.429167 0.60 228 15.9598 1.33871
0.0175 14 0.500833 0.60 266 15.8127 1.98101
0.0175 15 0.536667 0.60 285 15.0895 1.57413
0.0175 16 0.5725 0.60 304 15.0419 1.50206
0.0175 17 0.608333 0.60 323 14.7854 1.61529
0.0175 18 0.644167 0.60 342 13.6736 1.30803
0.0175 19 0.68 0.60 361 13.9055 2.00691
0.0175 20 0.715833 0.60 380 14.3009 1.54857
0.0175 21 0.751667 0.60 399 14.461 0.791196
0.0175 22 0.7875 0.60 418 15.737 1.92286
0.0175 23 0.823333 0.60 437 17.0065 1.66604
0.0175 24 0.859167 0.60 456 18.6052 2.26912
