radio columnas ancho x K t90_mean t90_std
0.0175 16 0.5725 0.60 304 15.0419 1.50206
0.0175 17 0.608333 0.60 323 14.7854 1.61529
0.0175 18 0.644167 0.60 342 13.6736 1.30803
0.0175 19 0.68 0.60 361 13.9055 2.00691
0.0175 20 0.715833 0.60 380 14.3009 1.54857
0.0175 21 0.751667 0.60 399 14.461 0.791196
0.0175 22 0.7875 0.60 418 15.737 1.92286
0.0225 14 0.634643 0.60 210 14.3787 1.82265
0.0225 15 0.68 0.60 225 13.8765 1.14817
0.0225 16 0.725357 0.60 240 14.0784 2.11151
0.0225 17 0.770714 0.60 255 15.7206 1.5644
0.0275 11 0.623182 0.60 132 14.5615 1.49056
0.0275 12 0.68 0.60 144 14.7225 1.72523
0.0275 13 0.736818 0.60 156 14.7212 2.20855
0.0275 14 0.793636 0.60 168 16.1801 1.64983
0.0325 9 0.611667 0.60 90 14.6073 2.38897
0.0325 10 0.68 0.60 100 14.4729 1.34962
0.0325 11 0.748333 0.60 110 15.7229 1.72638
0.0325 12 0.816667 0.60 120 17.1241 1.77348
