columnas ancho x K t90_mean t90_std
1 0.07 0.40 9 26.8544 3.22296
1 0.07 0.50 9 21.3977 2.83343
1 0.07 0.60 9 21.5002 1.86063
1 0.07 0.70 9 22.7271 1.94657
1 0.07 0.80 9 25.9411 3.48239
2 0.14625 0.40 18 27.3068 3.394
2 0.14625 0.50 18 21.9589 2.29131
2 0.14625 0.60 18 19.5948 2.30015
2 0.14625 0.70 18 22.68 4.15284
2 0.14625 0.80 18 25.7005 3.14037
3 0.2225 0.40 27 26.0017 4.30289
3 0.2225 0.50 27 20.5286 1.92858
3 0.2225 0.60 27 17.4686 2.17496
3 0.2225 0.70 27 19.5749 2.46156
3 0.2225 0.80 27 27.0016 3.95549
4 0.29875 0.40 36 25.81 3.39564
4 0.29875 0.50 36 19.5828 2.19911
4 0.29875 0.60 36 17.1308 2.6317
4 0.29875 0.70 36 19.9352 2.39839
4 0.29875 0.80 36 25.3793 4.36147
5 0.375 0.40 45 24.2196 1.87179
5 0.375 0.50 45 17.9288 2.72884
5 0.375 0.60 45 16.269 2.74509
5 0.375 0.70 45 18.7925 2.43427
5 0.375 0.80 45 24.9211 3.68875
6 0.45125 0.40 54 25.3999 3.59113
6 0.45125 0.50 54 18.4262 1.96962
6 0.45125 0.60 54 15.0466 1.67104
6 0.45125 0.70 54 18.6471 1.79805
6 0.45125 0.80 54 25.9161 4.4273
7 0.5275 0.40 63 24.904 2.7091
7 0.5275 0.50 63 17.4774 2.67174
7 0.5275 0.60 63 15.1776 2.3762
7 0.5275 0.70 63 17.8507 1.70572
7 0.5275 0.80 63 24.2086 3.59045
8 0.60375 0.40 72 29.0399 4.08307
8 0.60375 0.50 72 17.8945 1.90955
8 0.60375 0.60 72 14.475 1.6097
8 0.60375 0.70 72 18.5458 3.53672
8 0.60375 0.80 72 28.3212 4.31994
9 0.68 0.40 81 30.7667 3.00713
9 0.68 0.50 81 20.1053 2.566
9 0.68 0.60 81 14.2071 1.4056
9 0.68 0.70 81 19.5508 3.34605
9 0.68 0.80 81 31.6704 3.07591
10 0.75625 0.40 90 34.9799 5.55378
10 0.75625 0.50 90 21.6301 3.71663
10 0.75625 0.60 90 15.5184 2.13864
10 0.75625 0.70 90 21.1936 2.97951
10 0.75625 0.80 90 36.1152 4.30907
8 0.60375 0.45 72 22.2968 2.86313
8 0.60375 0.55 72 14.9916 1.80057
8 0.60375 0.58 72 15.2052 2.73179
8 0.60375 0.62 72 14.7913 2.06817
8 0.60375 0.65 72 15.3144 2.29662
8 0.60375 0.75 72 24.284 4.33996
9 0.68 0.45 81 23.0332 4.19966
9 0.68 0.55 81 15.6154 1.79595
9 0.68 0.58 81 14.9304 1.8464
9 0.68 0.62 81 15.3856 1.75064
9 0.68 0.65 81 16.2169 1.40555
9 0.68 0.75 81 25.0479 2.86436
10 0.75625 0.45 90 27.7188 3.51132
10 0.75625 0.55 90 16.1071 2.26661
10 0.75625 0.58 90 16.1551 2.07918
10 0.75625 0.62 90 15.7189 2.70017
10 0.75625 0.65 90 15.9354 1.64188
10 0.75625 0.75 90 26.8179 3.5431
