t msd
0.000000 0.000000
0.048298 0.001953
0.177259 0.014776
0.242037 0.021739
0.258538 0.023653
0.308776 0.028939
0.390423 0.034826
0.505826 0.045186
0.517777 0.046274
0.548842 0.050086
0.682776 0.063022
0.768583 0.069140
1.017788 0.089007
1.032334 0.089563
1.040340 0.089809
1.211995 0.101776
1.238262 0.104373
1.254422 0.105798
1.439748 0.110470
1.462713 0.107942
1.480435 0.106662
1.504251 0.106183
1.646882 0.106726
1.655574 0.106885
1.690746 0.108604
1.854152 0.126877
1.942830 0.129144
2.023287 0.130482
2.145033 0.137036
2.183466 0.139431
2.295690 0.144023
2.425963 0.151291
2.466935 0.150999
2.608100 0.156285
2.655583 0.156282
2.667790 0.157019
2.894718 0.164739
2.909996 0.165056
3.041426 0.168323
3.065823 0.168389
3.137931 0.172946
3.195667 0.177818
3.242472 0.178011
3.358174 0.183377
3.360100 0.183539
3.475421 0.189660
3.510287 0.192183
3.591748 0.192378
3.610635 0.191821
3.631140 0.190526
3.836935 0.180488
3.855553 0.181743
4.066092 0.179929
4.070130 0.179961
4.074744 0.179973
4.289719 0.175792
4.398323 0.175223
4.530210 0.173958
4.546282 0.173962
4.748139 0.186309
4.970406 0.175479
5.010550 0.175873
5.095062 0.176125
5.120197 0.175209
5.136186 0.174446
5.232266 0.170007
5.245887 0.170454
5.261641 0.170805
5.276720 0.171955
5.492633 0.181680
5.573511 0.182335
5.704832 0.180438
5.963896 0.184867
5.974175 0.185983
5.998853 0.187479
6.204275 0.186226
6.426170 0.197224
6.430254 0.197340
6.681523 0.212583
6.878901 0.225074
6.912892 0.224455
6.937851 0.223939
7.156475 0.234066
7.158428 0.234186
7.213455 0.231973
7.225347 0.231463
7.359259 0.237688
7.381408 0.238138
7.588189 0.246018
7.659661 0.250751
7.817036 0.247922
8.052894 0.248455
8.268605 0.264701
8.338716 0.263748
8.544067 0.267569
8.590255 0.265652
8.614320 0.265630
8.814876 0.250272
9.059652 0.244022
9.296046 0.247711
9.322926 0.247916
9.352801 0.247566
9.365014 0.247665
9.514778 0.253221
9.651830 0.242154
9.742289 0.228791
9.964372 0.222336
10.101209 0.231280
10.224638 0.226875
10.232433 0.225890
10.469561 0.215043
10.470085 0.215048
10.673815 0.213665
10.694276 0.215311
10.816686 0.231660
10.919270 0.240048
11.151510 0.242925
11.262983 0.237972
11.380534 0.240756
11.460220 0.246142
11.635674 0.252294
11.741677 0.256301
11.750808 0.255826
11.851386 0.251852
12.083774 0.246296
12.133135 0.251925
12.230582 0.263487
12.336827 0.269721
12.571577 0.282339
12.785502 0.276947
13.012492 0.271582
13.278623 0.301701
13.280857 0.302057
13.355495 0.302235
13.521818 0.293486
13.752754 0.291454
14.013886 0.291613
14.092124 0.287945
14.250988 0.286749
14.486172 0.291767
14.627172 0.292856
14.724420 0.281490
14.961772 0.273288
